FECHA,COD_STA,COD_UBT,COD_SDS,VALOR,COSTO_RED
2020-03-24,RE,TAM,EUN,2.4737719133476613E-6,0.01
2020-03-24,SU,TAM,EUN,0.9995406487862328,0.01
2020-03-24,ED,MAD,EUN,8.436571506980285E-10,0.01
2020-03-24,EX,MAD,EUN,3.5300720855368115E-6,0.01
2020-03-24,I0,MAD,EUN,9.407920950687015E-6,0.01
2020-03-24,I1,MAD,EUN,6.474299348639998E-6,0.01
2020-03-24,I2,MAD,EUN,1.3146890008684536E-6,0.01
2020-03-24,I3,MAD,EUN,2.6739403921422395E-7,0.01
2020-03-24,ND,MAD,EUN,2.018752388180579E-4,0.01
2020-03-24,RE,MAD,EUN,7.461716682282938E-6,0.01
2020-03-24,SU,MAD,EUN,0.9995215964010726,0.01
2020-03-24,ED,ALT,EUN,3.710995091362269E-10,0.01
2020-03-24,EX,ALT,EUN,1.5528120921200707E-6,0.01
2020-03-24,I0,ALT,EUN,4.138329008088384E-6,0.01
2020-03-24,I1,ALT,EUN,2.8478692930932547E-6,0.01
2020-03-24,I2,ALT,EUN,5.782933180186776E-7,0.01
2020-03-24,I3,ALT,EUN,1.1761867023640852E-7,0.01
2020-03-24,ND,ALT,EUN,3.095888321305211E-4,0.01
2020-03-24,RE,ALT,EUN,3.282192669443324E-6,0.01
2020-03-24,SU,ALT,EUN,0.9995375608188272,0.01
2020-03-25,ED,TAM,EUN,3.683442588017745E-10,0.01
2020-03-25,EX,TAM,EUN,1.3548358787753984E-6,0.01
2020-03-25,I0,TAM,EUN,3.663306287694344E-6,0.01
2020-03-25,I1,TAM,EUN,2.37844679624544E-6,0.01
2020-03-25,I2,TAM,EUN,4.620431586127197E-7,0.01
2020-03-25,I3,TAM,EUN,1.0053774956131641E-7,0.01
2020-03-25,ND,TAM,EUN,2.9298125800472175E-5,0.01
2020-03-25,RE,TAM,EUN,2.825211231889813E-6,0.01
2020-03-25,SU,TAM,EUN,0.9994893169179146,0.01
2020-03-25,ED,MAD,EUN,1.1110511899122526E-9,0.01
2020-03-25,EX,MAD,EUN,4.0865002273095895E-6,0.01
2020-03-25,I0,MAD,EUN,1.1049525001488359E-5,0.01
2020-03-25,I1,MAD,EUN,7.174127846045256E-6,0.01
2020-03-25,I2,MAD,EUN,1.393674572724325E-6,0.01
2020-03-25,I3,MAD,EUN,3.032557432174877E-7,0.01
2020-03-25,ND,MAD,EUN,2.2256804349072835E-4,0.01
2020-03-25,RE,MAD,EUN,8.521766155959186E-6,0.01
2020-03-25,SU,MAD,EUN,0.9994675338210253,0.01
2020-03-25,ED,ALT,EUN,4.887181793726354E-10,0.01
2020-03-25,EX,ALT,EUN,1.7975823464603235E-6,0.01
2020-03-25,I0,ALT,EUN,4.860447252975103E-6,0.01
2020-03-25,I1,ALT,EUN,3.1557115690508987E-6,0.01
2020-03-25,I2,ALT,EUN,6.130373249501591E-7,0.01
